Reaction_class	KO
RC00001	K00031
RC00001	K00032
RC00001	K00033
RC00001	K00036
RC00001	K00322
RC00001	K00323
RC00001	K00324
RC00001	K00325
RC00001	K00354
RC00001	K13937
RC00002	K00531
RC00002	K00844
RC00002	K00845
RC00002	K00846
RC00002	K00847
RC00002	K00848
RC00002	K00849
RC00002	K00850
RC00002	K00851
RC00002	K00852
RC00002	K00853
RC00002	K00854
RC00002	K00855
RC00002	K00856
RC00002	K00857
RC00002	K00858
RC00002	K00859
RC00002	K00860
RC00002	K00861
RC00002	K00863
RC00002	K00864
RC00002	K00865
RC00002	K00866
RC00002	K00867
RC00002	K00868
RC00002	K00869
RC00002	K00872
RC00002	K00873
RC00002	K00874
RC00002	K00875
RC00002	K00876
RC00002	K00877
RC00002	K00878
RC00002	K00879
RC00002	K00880
RC00002	K00881
RC00002	K00882
RC00002	K00883
RC00002	K00884
RC00002	K00885
RC00002	K00887
RC00002	K00888
RC00002	K00889
RC00002	K00891
RC00002	K00892
RC00002	K00893
RC00002	K00894
RC00002	K00899
RC00002	K00900
RC00002	K00901
RC00002	K00902
RC00002	K00904
RC00002	K00911
RC00002	K00912
RC00002	K00913
RC00002	K00914
RC00002	K00915
RC00002	K00917
RC00002	K00918
RC00002	K00919
RC00002	K00920
RC00002	K00921
RC00002	K00922
RC00002	K00923
RC00002	K00925
RC00002	K00926
RC00002	K00927
RC00002	K00928
RC00002	K00929
RC00002	K00930
RC00002	K00931
RC00002	K00932
RC00002	K00933
RC00002	K00934
RC00002	K00938
RC00002	K00939
RC00002	K00940
RC00002	K00941
RC00002	K00942
RC00002	K00943
RC00002	K00944
RC00002	K00945
RC00002	K00946
RC00002	K00948
RC00002	K00949
RC00002	K00950
RC00002	K00951
RC00002	K00952
RC00002	K00953
RC00002	K00954
RC00002	K00955
RC00002	K00963
RC00002	K00965
RC00002	K00966
RC00002	K00967
RC00002	K00968
RC00002	K00969
RC00002	K00971
RC00002	K00972
RC00002	K00973
RC00002	K00975
RC00002	K00976
RC00002	K00978
RC00002	K00980
RC00002	K00981
RC00002	K00987
RC00002	K00988
RC00002	K00991
RC00002	K00992
RC00002	K00993
RC00002	K00994
RC00002	K00995
RC00002	K00997
RC00002	K00998
RC00002	K00999
RC00002	K01000
RC00002	K01001
RC00002	K01004
RC00002	K01006
RC00002	K01007
RC00002	K01008
RC00002	K01098
RC00002	K01139
RC00002	K01509
RC00002	K01510
RC00002	K01511
RC00002	K01513
RC00002	K01514
RC00002	K01515
RC00002	K01517
RC00002	K01518
RC00002	K01519
RC00002	K01520
RC00002	K01521
RC00002	K01522
RC00002	K01523
RC00002	K01524
RC00002	K01525
RC00002	K01596
RC00002	K01610
RC00002	K01765
RC00002	K01770
RC00002	K01947
RC00002	K01948
RC00002	K01954
RC00002	K01955
RC00002	K01956
RC00002	K02201
RC00002	K02203
RC00002	K02204
RC00002	K02231
RC00002	K02233
RC00002	K02318
RC00002	K02428
RC00002	K02586
RC00002	K02588
RC00002	K02591
RC00002	K02649
RC00002	K02851
RC00002	K03269
RC00002	K03272
RC00002	K03338
RC00002	K03426
RC00002	K03525
RC00002	K03638
RC00002	K03752
RC00002	K03760
RC00002	K03831
RC00002	K04042
RC00002	K04112
RC00002	K04113
RC00002	K04114
RC00002	K04115
RC00002	K04339
RC00002	K04343
RC00002	K04715
RC00002	K04718
RC00002	K04765
RC00002	K05305
RC00002	K05307
RC00002	K05715
RC00002	K05774
RC00002	K05828
RC00002	K06133
RC00002	K06153
RC00002	K06162
RC00002	K06210
RC00002	K06211
RC00002	K06857
RC00002	K06898
RC00002	K06928
RC00002	K06949
RC00002	K06981
RC00002	K06982
RC00002	K07029
RC00002	K07031
RC00002	K07102
RC00002	K07141
RC00002	K07142
RC00002	K07144
RC00002	K07251
RC00002	K07252
RC00002	K07281
RC00002	K07291
RC00002	K07732
RC00002	K07756
RC00002	K07816
RC00002	K08074
RC00002	K08310
RC00002	K08311
RC00002	K08312
RC00002	K08744
RC00002	K09680
RC00002	K09881
RC00002	K09903
RC00002	K10353
RC00002	K10524
RC00002	K10572
RC00002	K10710
RC00002	K10837
RC00002	K11211
RC00002	K11212
RC00002	K11214
RC00002	K11216
RC00002	K11441
RC00002	K11528
RC00002	K11529
RC00002	K11540
RC00002	K11541
RC00002	K11753
RC00002	K11755
RC00002	K12304
RC00002	K12305
RC00002	K12406
RC00002	K12407
RC00002	K12409
RC00002	K12446
RC00002	K12447
RC00002	K12506
RC00002	K12524
RC00002	K12525
RC00002	K12526
RC00002	K12570
RC00002	K12584
RC00002	K12613
RC00002	K12629
RC00002	K12657
RC00002	K12659
RC00002	K12908
RC00002	K13024
RC00002	K13059
RC00002	K13273
RC00002	K13522
RC00002	K13644
RC00002	K13656
RC00002	K13711
RC00002	K13712
RC00002	K13799
RC00002	K13800
RC00002	K13809
RC00002	K13811
RC00002	K13818
RC00002	K13829
RC00002	K13830
RC00002	K13917
RC00002	K13939
RC00002	K13940
RC00002	K13941
RC00002	K13967
RC00002	K13987
RC00002	K13988
RC00002	K14152
RC00002	K14153
RC00002	K14154
RC00002	K14156
RC00002	K14190
RC00002	K14641
RC00002	K14642
RC00002	K14656
RC00002	K14941
RC00002	K15376
RC00002	K15497
RC00002	K15518
RC00002	K15519
RC00002	K15669
RC00002	K15825
RC00002	K15892
RC00002	K15915
RC00002	K15918
RC00002	K16011
RC00002	K16018
RC00002	K16146
RC00002	K16190
RC00002	K16328
RC00002	K16330
RC00002	K16368
RC00002	K16370
RC00002	K16651
RC00002	K16855
RC00002	K16881
RC00002	K16904
RC00002	K17103
RC00002	K17879
RC00002	K17884
RC00002	K17910
RC00002	K18126
RC00002	K18201
RC00002	K18424
RC00002	K18445
RC00002	K18447
RC00002	K18453
RC00002	K18478
RC00002	K18532
RC00002	K18533
RC00002	K18568
RC00002	K18676
RC00002	K18677
RC00002	K18678
RC00002	K18689
RC00002	K18690
RC00002	K18827
RC00002	K19302
RC00002	K19405
RC00002	K19517
RC00002	K19664
RC00002	K19665
RC00002	K19697
RC00002	K19710
RC00002	K19712
RC00002	K19785
RC00002	K19786
RC00002	K19797
RC00002	K19801
RC00002	K19803
RC00002	K19883
RC00002	K19965
RC00002	K19978
RC00002	K19979
RC00002	K20427
RC00002	K20884
RC00002	K20986
RC00002	K21030
RC00002	K21031
RC00002	K21057
RC00002	K21071
RC00002	K21210
RC00002	K21219
RC00002	K21289
RC00002	K21344
RC00002	K21345
RC00002	K21621
RC00002	K21681
RC00002	K22026
RC00002	K22129
RC00002	K22424
RC00002	K22435
RC00002	K22478
RC00002	K22579
RC00002	K22920
RC00002	K22935
RC00002	K22949
RC00002	K23144
RC00003	K00541
RC00003	K00542
RC00003	K00543
RC00003	K00545
RC00003	K00546
RC00003	K00547
RC00003	K00550
RC00003	K00551
RC00003	K00552
RC00003	K00553
RC00003	K00554
RC00003	K00558
RC00003	K00559
RC00003	K00561
RC00003	K00562
RC00003	K00563
RC00003	K00564
RC00003	K00565
RC00003	K00568
RC00003	K00569
RC00003	K00570
RC00003	K00586
RC00003	K00587
RC00003	K00588
RC00003	K00589
RC00003	K00591
RC00003	K00595
RC00003	K00599
RC00003	K02169
RC00003	K02188
RC00003	K02191
RC00003	K02228
RC00003	K02302
RC00003	K02303
RC00003	K02493
RC00003	K02496
RC00003	K02516
RC00003	K02528
RC00003	K03183
RC00003	K03394
RC00003	K03399
RC00003	K03428
RC00003	K05279
RC00003	K05353
RC00003	K05925
RC00003	K05928
RC00003	K05929
RC00003	K05931
RC00003	K05934
RC00003	K05936
RC00003	K06101
RC00003	K06127
RC00003	K06168
RC00003	K06970
RC00003	K07320
RC00003	K08241
RC00003	K08242
RC00003	K08247
RC00003	K08316
RC00003	K09186
RC00003	K09187
RC00003	K09188
RC00003	K09189
RC00003	K09846
RC00003	K10718
RC00003	K11391
RC00003	K11419
RC00003	K11420
RC00003	K11421
RC00003	K11422
RC00003	K11423
RC00003	K11424
RC00003	K11425
RC00003	K11427
RC00003	K11428
RC00003	K11429
RC00003	K11430
RC00003	K11431
RC00003	K11432
RC00003	K11433
RC00003	K11434
RC00003	K11435
RC00003	K11436
RC00003	K11437
RC00003	K11438
RC00003	K11439
RC00003	K12297
RC00003	K12502
RC00003	K12633
RC00003	K12635
RC00003	K12643
RC00003	K12705
RC00003	K12709
RC00003	K12710
RC00003	K12711
RC00003	K12712
RC00003	K12729
RC00003	K12730
RC00003	K12731
RC00003	K13042
RC00003	K13066
RC00003	K13067
RC00003	K13230
RC00003	K13259
RC00003	K13262
RC00003	K13272
RC00003	K13307
RC00003	K13311
RC00003	K13317
RC00003	K13320
RC00003	K13326
RC00003	K13330
RC00003	K13383
RC00003	K13384
RC00003	K13386
RC00003	K13390
RC00003	K13396
RC00003	K13397
RC00003	K13398
RC00003	K13540
RC00003	K13541
RC00003	K13542
RC00003	K13543
RC00003	K13604
RC00003	K13621
RC00003	K13623
RC00003	K14191
RC00003	K14251
RC00003	K14255
RC00003	K14336
RC00003	K14369
RC00003	K14374
RC00003	K14441
RC00003	K14589
RC00003	K14590
RC00003	K14959
RC00003	K15429
RC00003	K15451
RC00003	K15461
RC00003	K15467
RC00003	K15588
RC00003	K15865
RC00003	K15942
RC00003	K15954
RC00003	K15959
RC00003	K15963
RC00003	K15971
RC00003	K15995
RC00003	K15996
RC00003	K16038
RC00003	K16040
RC00003	K16369
RC00003	K16437
RC00003	K17057
RC00003	K17058
RC00003	K17059
RC00003	K17398
RC00003	K17399
RC00003	K17451
RC00003	K17462
RC00003	K17649
RC00003	K17650
RC00003	K18062
RC00003	K18280
RC00003	K18477
RC00003	K18494
RC00003	K18534
RC00003	K18707
RC00003	K18776
RC00003	K18804
RC00003	K18826
RC00003	K18827
RC00003	K18884
RC00003	K18896
RC00003	K18897
RC00003	K18911
RC00003	K19199
RC00003	K19567
RC00003	K19568
RC00003	K19569
RC00003	K19570
RC00003	K19737
RC00003	K19787
RC00003	K19856
RC00003	K19889
RC00003	K20082
RC00003	K20215
RC00003	K20246
RC00003	K20331
RC00003	K20421
RC00003	K20592
RC00003	K20682
RC00003	K20795
RC00003	K20796
RC00003	K20981
RC00003	K20982
RC00003	K21192
RC00003	K21255
RC00003	K21258
RC00003	K21513
RC00003	K21539
RC00003	K21540
RC00003	K21580
RC00003	K21895
RC00003	K21896
RC00003	K22269
RC00003	K22309
RC00003	K22437
RC00003	K22440
RC00003	K22577
RC00003	K22588
RC00003	K22748
RC00004	K00021
RC00004	K00054
RC00004	K00132
RC00004	K00140
RC00004	K00161
RC00004	K00162
RC00004	K00163
RC00004	K00164
RC00004	K00169
RC00004	K00170
RC00004	K00171
RC00004	K00172
RC00004	K00174
RC00004	K00175
RC00004	K00176
RC00004	K00177
RC00004	K00181
RC00004	K00186
RC00004	K00187
RC00004	K00188
RC00004	K00189
RC00004	K00193
RC00004	K00194
RC00004	K00197
RC00004	K00382
RC00004	K00618
RC00004	K00619
RC00004	K00620
RC00004	K00621
RC00004	K00622
RC00004	K00623
RC00004	K00624
RC00004	K00625
RC00004	K00626
RC00004	K00627
RC00004	K00628
RC00004	K00629
RC00004	K00630
RC00004	K00631
RC00004	K00632
RC00004	K00634
RC00004	K00635
RC00004	K00637
RC00004	K00639
RC00004	K00640
RC00004	K00641
RC00004	K00643
RC00004	K00645
RC00004	K00648
RC00004	K00649
RC00004	K00651
RC00004	K00652
RC00004	K00654
RC00004	K00655
RC00004	K00656
RC00004	K00657
RC00004	K00658
RC00004	K00659
RC00004	K00660
RC00004	K00664
RC00004	K00665
RC00004	K00667
RC00004	K00668
RC00004	K00669
RC00004	K00673
RC00004	K00674
RC00004	K00799
RC00004	K01067
RC00004	K01068
RC00004	K01069
RC00004	K01074
RC00004	K01075
RC00004	K01638
RC00004	K01641
RC00004	K01647
RC00004	K01648
RC00004	K01649
RC00004	K01655
RC00004	K01659
RC00004	K01759
RC00004	K01895
RC00004	K01896
RC00004	K01897
RC00004	K01899
RC00004	K01900
RC00004	K01902
RC00004	K01903
RC00004	K01904
RC00004	K01905
RC00004	K01906
RC00004	K01907
RC00004	K01908
RC00004	K01911
RC00004	K01912
RC00004	K01913
RC00004	K02182
RC00004	K02594
RC00004	K02614
RC00004	K02615
RC00004	K03400
RC00004	K03737
RC00004	K03821
RC00004	K03823
RC00004	K03896
RC00004	K04020
RC00004	K04021
RC00004	K04042
RC00004	K04072
RC00004	K04073
RC00004	K04097
RC00004	K04105
RC00004	K04110
RC00004	K04116
RC00004	K04709
RC00004	K04710
RC00004	K05283
RC00004	K05551
RC00004	K05552
RC00004	K05553
RC00004	K05605
RC00004	K05822
RC00004	K05942
RC00004	K06718
RC00004	K06864
RC00004	K07508
RC00004	K07509
RC00004	K07513
RC00004	K07549
RC00004	K07550
RC00004	K07823
RC00004	K08243
RC00004	K08295
RC00004	K08692
RC00004	K08748
RC00004	K08764
RC00004	K08765
RC00004	K08766
RC00004	K09011
RC00004	K09460
RC00004	K09699
RC00004	K09753
RC00004	K10203
RC00004	K10205
RC00004	K10244
RC00004	K10245
RC00004	K10246
RC00004	K10247
RC00004	K10248
RC00004	K10249
RC00004	K10250
RC00004	K10804
RC00004	K10805
RC00004	K10806
RC00004	K10817
RC00004	K10852
RC00004	K10977
RC00004	K11067
RC00004	K11155
RC00004	K11156
RC00004	K11160
RC00004	K11533
RC00004	K11992
RC00004	K12073
RC00004	K12632
